,num_frames,mota,motp,idf1,idp,idr,num_switches,num_false_positives,num_misses,num_fragmentations,mostly_tracked,mostly_lost
DeepSORT,310,0.872741935483871,0.21362039382755865,0.9296711798839459,0.8933828996282528,0.9690322580645161,6,654,129,27,20,0
ByteTrack,310,0.9479032258064516,0.16553877075046342,0.950487142628973,0.9413160392280924,0.9598387096774194,11,217,95,17,20,0
SAM2 (Vanilla),310,0.8801612903225806,0.0472206335062218,0.9406713505074161,0.9114977307110439,0.9717741935483871,1,576,166,11,19,0
SAM2 (Predlagani),310,0.937741935483871,0.00999445871173219,0.969315499606609,0.946236559139785,0.9935483870967742,10,343,33,16,20,0
