Tip dogodka,GT (Dejanski),Zaznani (DET),TP,FP,FN,Precision (%),Recall (%),F1-score (%)
OBRAMBA_GK,1,1,1,0,0,100.0,100.0,100.0
PODAJA,3,3,3,0,0,100.0,100.0,100.0
STREL,1,1,1,0,0,100.0,100.0,100.0
SKUPAJ (Overall),5,5,5,0,0,100.0,100.0,100.0
