Method,GT sledi (ujemane),Standardni IDSW,Prehodni (transient) IDSW,Net IDSW (začetek≠konec),Ohranjena identiteta (%)
DeepSORT,20,16,12,4,80.0
ByteTrack,20,12,8,4,80.0
SAM2 (Vanilla),20,17,16,1,95.0
SAM2 (Predlagani),20,53,48,5,75.0
