Method,GT sledi (ujemane),Standardni IDSW,Prehodni (transient) IDSW,Net IDSW (začetek≠konec),Ohranjena identiteta (%)
DeepSORT,20,0,0,0,100.0
ByteTrack,20,0,0,0,100.0
SAM2 (Vanilla),20,0,0,0,100.0
SAM2 (Predlagani),20,0,0,0,100.0
