,num_frames,mota,motp,idf1,idp,idr,num_switches,num_false_positives,num_misses,num_fragmentations,mostly_tracked,mostly_lost
DeepSORT,364,0.9777472527472527,0.21565471725138854,0.9888613861386139,0.9899504405286343,0.9877747252747253,0,73,89,29,20,0
ByteTrack,364,0.9913461538461539,0.16963950764623204,0.9956721852029952,0.9958774220145664,0.995467032967033,0,30,33,12,20,0
SAM2 (Vanilla),364,0.9006868131868132,0.04107866805113613,0.9526925341883138,0.9096588779207797,1.0,0,723,0,0,20,0
SAM2 (Predlagani),364,0.95,0.0039854823490112525,0.975609756097561,0.9523809523809523,1.0,0,364,0,0,20,0
