Tip dogodka,GT (Dejanski),Zaznani (DET),TP,FP,FN,Precision (%),Recall (%),F1-score (%)
PODAJA,6,6,6,0,0,100.0,100.0,100.0
SKUPAJ (Overall),6,6,6,0,0,100.0,100.0,100.0
