Tip dogodka,GT (Dejanski),Zaznani (DET),TP,FP,FN,Precision (%),Recall (%),F1-score (%)
OBRAMBA_GK,1,1,1,0,0,100.0,100.0,100.0
PODAJA,39,36,32,4,7,88.9,82.1,85.4
PRESTREZANJE,4,7,2,5,2,28.6,50.0,36.4
STREL,2,1,1,0,1,100.0,50.0,66.7
SKUPAJ (Overall),46,45,36,9,10,80.0,78.3,79.1
