,num_frames,mota,motp,idf1,idp,idr,num_switches,num_false_positives,num_misses,num_fragmentations,mostly_tracked,mostly_lost
DeepSORT,767,0.9499348109517601,0.2082374715547081,0.9739906832298136,0.9667351656819934,0.9813559322033898,8,496,264,71,20,0
ByteTrack,767,0.9725554106910039,0.1857929637552183,0.9475988239137537,0.9497707924034053,0.9454367666232073,15,168,238,79,20,0
SAM2 (Vanilla),767,0.9136245110821382,0.057596428950293266,0.958339863954108,0.9230118954169434,0.9964797913950456,6,1270,49,18,20,0
SAM2 (Predlagani),767,0.9634941329856584,2.2413809167050317e-06,0.9820742637644047,0.9647798742138365,1.0,0,560,0,0,20,0
