cid,st_tock,povprecje_px,mediana_px,std_odklon_px,max_napaka_px,mean_dx,mean_dy
0,310,1.04,0.0,3.73,24.53,-0.76,0.17
1,310,0.97,0.0,3.46,20.66,-0.75,0.03
2,310,1.01,0.0,3.39,18.14,-0.15,-0.16
3,195,1.29,0.0,5.16,32.75,-1.15,-0.15
6,310,0.64,0.0,2.14,13.72,-0.02,-0.05
7,310,0.87,0.0,3.28,21.85,0.13,-0.09
8,310,0.96,0.0,3.44,20.97,0.93,0.1
9,310,0.61,0.0,2.01,10.93,0.01,0.19
10,310,0.62,0.0,2.16,13.44,0.41,0.11
11,310,2.06,0.0,6.59,36.52,2.04,0.01
12,310,3.19,0.0,9.95,47.22,3.17,-0.08
13,80,2.4,0.0,6.41,28.67,2.3,0.13
14,103,0.88,0.0,2.87,19.14,0.65,0.29
15,108,0.46,0.0,1.42,7.03,-0.15,0.07
16,17,3.52,0.0,9.92,30.29,0.83,3.38
30,310,0.91,0.0,3.14,20.75,-0.13,0.36
