Metoda,Tracking Rate (%),CLE povprečje (px),CLE mediana (px),Precision@10px (%),Precision@20px (%),Success AUC
DeepSORT,91.0,162.84,134.62,7.2,8.3,0.091
ByteTrack,16.2,432.38,262.91,0.2,0.9,0.011
SAM2 (Vanilla),93.7,11.48,6.37,65.7,79.7,0.737
RF-DETR + Kalman (predlagani),99.8,10.57,5.4,76.2,90.4,0.822
