,num_frames,mota,motp,idf1,idp,idr,num_switches,num_false_positives,num_misses,num_fragmentations,mostly_tracked,mostly_lost
DeepSORT,458,0.9591703056768559,0.20721685933373574,0.893178472108621,0.8922540581762719,0.8941048034934498,21,186,167,44,20,0
ByteTrack,458,0.9760917030567685,0.16825502763882227,0.8896691721073133,0.894231829712143,0.8851528384279476,16,55,148,53,20,0
SAM2 (Vanilla),458,0.8827510917030568,0.046729323458237285,0.9440158465387823,0.9033320031923384,0.9885371179039302,8,965,101,23,20,0
SAM2 (Predlagani),458,0.9318777292576419,0.0015675084002013313,0.9635743955692831,0.9406321480557288,0.9876637554585153,12,535,77,11,20,0
