method,num_frames,mota,motp,idf1,idp,idr,num_switches,num_false_positives,num_misses,num_fragmentations,mostly_tracked,mostly_lost
DeepSORT,3554,0.9381505794803483,0.20808739336918383,0.9408906636602389,0.9315036651494316,0.9508586054039784,53,2769,1436,395,120,0
ByteTrack,3554,0.964455695993165,0.17010894020312772,0.9300265601534825,0.9303317191723698,0.9297812100101939,67,1266,1353,420,120,0
SAM2 (Vanilla),3554,0.8770814260480201,0.05006980715085125,0.9373199437301087,0.9075024291355501,0.9694571884058415,34,6658,2288,196,115,1
SAM2 (Predlagani),3554,0.9254335251236094,0.0067092380274348514,0.9579147560366575,0.9433404860113215,0.9732552787633743,93,3598,2057,131,117,1
