Method,GT sledi (ujemane),Standardni IDSW,Prehodni (transient) IDSW,Net IDSW (začetek≠konec),Ohranjena identiteta (%)
DeepSORT,20,21,16,5,75.0
ByteTrack,20,16,9,7,65.0
SAM2 (Vanilla),20,8,8,0,100.0
SAM2 (Predlagani),20,12,12,0,100.0
