,num_frames,mota,motp,idf1,idp,idr,num_switches,num_false_positives,num_misses,num_fragmentations,mostly_tracked,mostly_lost
DeepSORT,602,0.9348837209302325,0.2143308672280309,0.9300879084425278,0.9287015568068897,0.9314784053156147,16,402,366,110,20,0
ByteTrack,602,0.9478405315614618,0.17760533170705148,0.9120502092050209,0.9189713322091062,0.9052325581395348,12,218,398,118,20,0
SAM2 (Vanilla),602,0.8322259136212624,0.05955750513750046,0.9005103082261686,0.8855078281814532,0.9160299003322259,17,1209,794,80,17,0
SAM2 (Predlagani),602,0.8846345514950166,0.023348680788911516,0.9175621360019687,0.90633608815427,0.9290697674418604,53,819,517,88,19,0
