,num_frames,mota,motp,idf1,idp,idr,num_switches,num_false_positives,num_misses,num_fragmentations,mostly_tracked,mostly_lost
DeepSORT,1053,0.9344254510921177,0.1894640510196812,0.9295543521579108,0.9179978700745474,0.9414055080721747,2,958,421,114,20,0
ByteTrack,1053,0.950997150997151,0.15382203972097905,0.8846818278628393,0.8818228994669057,0.887559354226021,13,578,441,141,20,0
SAM2 (Vanilla),1053,0.8530389363722697,0.04823628380171886,0.9276897589658633,0.9120062393907419,0.9439221272554605,2,1915,1178,64,19,1
SAM2 (Predlagani),1053,0.8848528015194682,0.0013570565338363422,0.9393524851801186,0.9496772941233561,0.9292497625830959,18,977,1430,16,18,1
