Method,GT sledi (ujemane),Standardni IDSW,Prehodni (transient) IDSW,Net IDSW (začetek≠konec),Ohranjena identiteta (%)
DeepSORT,20,2,0,2,90.0
ByteTrack,20,13,7,6,70.0
SAM2 (Vanilla),19,2,2,0,100.0
SAM2 (Predlagani),19,18,18,0,100.0
